-4706640	-229912	2000	2400
-4701148	-229982	2400	2600
-4695506	-230052	2400	2800
-4706640	-238472	2000	2000
-4695506	-238612	2400	2400
-4701148	-238752	2400	2800
-4706422	-247652	2400	2400
-4701458	-247652	2000	2400
-4767703	-290967	2000	2000
-4757499	-290967	2000	2000
-4723208	-290967	2000	2000
-4718446	-290967	1600	2000
-4708199	-290967	2000	2000
-4772954	-291107	2400	2400
-4762601	-291107	2000	2400
-4739443	-291107	2800	2400
-4733992	-291107	2000	2400
-4712974	-291107	2400	2400
-4703097	-291107	2000	2400
-4828180	-291167	1600	1600
-4751487	-291247	2800	2800
-4745605	-291247	2400	2800
-4728460	-291247	2400	2800
-4833223	-291307	2000	2000
-4822856	-291307	2000	2000
-4817473	-291307	2000	2000
-4811659	-291307	2400	2000
-4806125	-291307	2000	2000
-4795358	-291307	2000	2000
-4789974	-291307	2000	2000
-4778627	-291307	2000	2000
-4800742	-291447	2000	2400
-4784161	-291447	2400	2400
-4833364	-299667	2000	2000
-4799073	-299667	2000	2000
-4794312	-299667	1600	2000
-4789321	-299667	2000	2000
-4768161	-299667	2000	2000
-4734391	-299667	2200	2000
-4712774	-299667	2200	2000
-4815309	-299807	2800	2400
-4809857	-299807	2000	2400
-4784321	-299807	2000	2400
-4778891	-299807	2400	2400
-4757151	-299807	2400	2400
-4751571	-299807	2400	2400
-4739731	-299807	2400	2400
-4729310	-299807	2000	2400
-4723578	-299807	2600	2400
-4718076	-299807	2200	2400
-4773311	-299877	2400	2600
-4827353	-299947	2800	2800
-4821471	-299947	2400	2800
-4804325	-299947	2400	2800
-4762731	-299947	2400	2800
-4745511	-299947	2800	2800
-4707233	-299947	2400	2800
