-4693806	-228652	0
-4699448	-228682	0
-4705140	-228712	0
-4705640	-231612	2000
-4699948	-231782	2400
-4694306	-231952	2400
-4699448	-237352	0
-4693806	-237412	0
-4705140	-237472	0
-4705640	-239972	2000
-4694306	-240312	2400
-4699948	-240652	2400
-4704722	-246452	0
-4699958	-246452	0
-4705222	-249352	2400
-4700458	-249352	2000
-4749587	-289847	0
-4743905	-289847	0
-4726760	-289847	0
-4771254	-289907	0
-4761101	-289907	0
-4737543	-289907	0
-4732492	-289907	0
-4711253	-289907	0
-4701597	-289907	0
-4766203	-289967	0
-4755999	-289967	0
-4721708	-289967	0
-4717146	-289967	0
-4706699	-289967	0
-4799242	-290247	0
-4782461	-290247	0
-4831723	-290307	0
-4821356	-290307	0
-4815973	-290307	0
-4809959	-290307	0
-4804625	-290307	0
-4793858	-290307	0
-4788474	-290307	0
-4777127	-290307	0
-4826880	-290367	0
-4827380	-292467	1600
-4766703	-292467	2000
-4756499	-292467	2000
-4722208	-292467	2000
-4717646	-292467	1600
-4707199	-292467	2000
-4832223	-292807	2000
-4821856	-292807	2000
-4816473	-292807	2000
-4810459	-292807	2400
-4805125	-292807	2000
-4794358	-292807	2000
-4788974	-292807	2000
-4777627	-292807	2000
-4771754	-292807	2400
-4761601	-292807	2000
-4738043	-292807	2800
-4732992	-292807	2000
-4711774	-292807	2400
-4702097	-292807	2000
-4799742	-293147	2000
-4782961	-293147	2400
-4750087	-293147	2800
-4744405	-293147	2400
-4727260	-293147	2400
-4825453	-298547	0
-4819771	-298547	0
-4802625	-298547	0
-4761031	-298547	0
-4743611	-298547	0
-4705533	-298547	0
-4771611	-298577	0
-4813409	-298607	0
-4808357	-298607	0
-4782821	-298607	0
-4777191	-298607	0
-4755451	-298607	0
-4749871	-298607	0
-4738031	-298607	0
-4727810	-298607	0
-4721778	-298607	0
-4716476	-298607	0
-4831864	-298667	0
-4797573	-298667	0
-4793012	-298667	0
-4787821	-298667	0
-4766661	-298667	0
-4732791	-298667	0
-4711174	-298667	0
-4832364	-301167	2000
-4798073	-301167	2000
-4793512	-301167	1600
-4788321	-301167	2000
-4767161	-301167	2000
-4733291	-301167	2200
-4711674	-301167	2200
-4813909	-301507	2800
-4808857	-301507	2000
-4783321	-301507	2000
-4777691	-301507	2400
-4755951	-301507	2400
-4750371	-301507	2400
-4738531	-301507	2400
-4728310	-301507	2000
-4722278	-301507	2600
-4716976	-301507	2200
-4772111	-301677	2400
-4825953	-301847	2800
-4820271	-301847	2400
-4803125	-301847	2400
-4761531	-301847	2400
-4744111	-301847	2800
-4706033	-301847	2400
